arm,task,lang,n_cmds,n_failed_cmds,fail_rate,n_build_cmds,n_build_failures,build_fail_rate,first_green_build_pos,n_static_err_cmds,n_runtime_err_cmds,static_share,max_same_err_loop,n_loop_cmds,early_fail_frac,late_fail_frac,late_static_errs,n_file_changes,n_unique_files,n_re_edits,n_late_re_edits,churn,n_agent_msgs,output_tokens,sub_src_files,sub_loc,sub_all_files
codex-free,bootandy__dust.62bf1e1,python,25,3,0.12,3,0,0.0,0.52,0,0,,0,0,0.3333,0.0,0,4,2,3,1,1.5,9,12540,1,700,2
codex-free,boyter__scc.515f91c,python,24,2,0.0833,3,1,0.3333,0.75,0,1,0.0,1,0,0.0,1.0,0,5,2,4,2,2.0,8,13313,1,560,2
codex-free,brocode__fblog.3b54330,python,36,1,0.0278,0,0,,,0,0,,0,0,0.0,1.0,0,5,2,4,2,2.0,9,10874,1,434,2
codex-free,burntsushi__ripgrep.3b7fd44,python,27,3,0.1111,1,0,0.0,0.8889,0,0,,0,0,0.0,0.0,0,6,2,5,2,2.5,9,14187,1,676,2
codex-free,burntsushi__xsv.f430466,python,27,1,0.037,1,0,0.0,0.9259,0,0,,0,0,0.0,0.0,0,4,1,3,1,3.0,8,13617,1,402,2
codex-free,byron__dua-cli.8570c15,python,20,1,0.05,0,0,,,0,0,,0,0,0.0,0.0,0,1,1,0,0,0.0,9,8249,1,336,2
codex-free,canop__broot.d6c798e,python,29,2,0.069,0,0,,,0,0,,0,0,0.0,0.5,0,2,2,0,0,0.0,7,9691,1,489,13
codex-free,canop__rhit.ae90bcb,python,26,1,0.0385,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,2,1,1.0,8,10539,1,432,2
codex-free,cheat__cheat.b8098dc,python,19,2,0.1053,2,0,0.0,0.7368,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,11,10913,1,550,2
codex-free,chirlu__sox.42b3557,python,28,2,0.0714,0,0,,,0,0,,0,0,0.0,0.5,0,8,2,7,3,3.5,8,14376,1,488,2
codex-free,chmln__handlr.90e78ba,python,23,1,0.0435,0,0,,,0,0,,0,0,0.0,1.0,0,2,2,1,1,0.5,10,10521,1,497,2
codex-free,chmln__sd.87d1ba5,rust,28,1,0.0357,1,0,0.0,0.4286,5,0,1.0,1,0,0.0,1.0,1,3,4,3,2,0.75,9,9531,1,277,5
codex-free,clog-tool__clog-cli.7066cba,python,36,3,0.0833,0,0,,,0,0,,0,0,0.3333,0.6667,0,2,2,1,1,0.5,8,10069,1,374,2
codex-free,cmatsuoka__figlet.202a0a8,python,34,0,0.0,0,0,,,0,0,,0,0,,,0,8,2,7,3,3.5,8,15140,1,459,87
codex-free,codesnap-rs__codesnap.f81e4f3,python,18,0,0.0,0,0,,,0,0,,0,0,,,0,2,2,0,0,0.0,8,8462,1,465,2
codex-free,cordx56__rustowl.655bc5c,python,27,3,0.1111,0,0,,,0,0,,2,1,0.0,0.6667,0,3,2,2,1,1.0,9,10239,1,423,2
codex-free,crowdagger__crowbook.ea214d7,python,46,3,0.0652,0,0,,,0,0,,0,0,0.0,0.6667,0,3,2,2,1,1.0,8,10867,1,469,3
codex-free,cslarsen__jp2a.61d205f,c,46,1,0.0217,0,0,,,1,0,1.0,1,0,0.0,0.0,0,11,2,9,3,4.5,8,20544,1,525,2
codex-free,cweill__gotests.2a672c5,go,18,3,0.1667,5,3,0.6,0.8333,1,0,1.0,1,0,0.0,0.3333,0,0,0,0,0,,6,11369,1,111,2
codex-free,dalance__amber.69a0f52,python,29,1,0.0345,0,0,,,0,0,,0,0,0.0,1.0,0,3,2,2,1,1.0,9,10055,1,467,2
codex-free,dandavison__delta.acd758f,python,33,0,0.0,2,0,0.0,0.7273,0,0,,0,0,,,0,3,2,2,1,1.0,9,10741,1,509,3
codex-free,danmar__cppcheck.0a5b103,python,28,2,0.0714,0,0,,,0,1,0.0,0,0,1.0,0.0,0,3,2,1,1,0.5,7,5666,1,181,4
codex-free,direnv__direnv.02040c7,python,29,4,0.1379,2,0,0.0,0.6897,0,0,,0,0,0.25,0.25,0,3,1,2,1,2.0,8,12399,1,449,3
codex-free,doxygen__doxygen.966d98e,python,35,3,0.0857,0,0,,,0,2,0.0,2,1,0.0,0.6667,0,0,0,0,0,,9,10561,1,320,14
codex-free,drew-alleman__datasurgeon.d257cee,python,22,1,0.0455,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,9,11000,1,316,2
codex-free,ducaale__xh.4a6e44f,python,26,0,0.0,0,0,,,0,0,,0,0,,,0,8,2,6,2,3.0,10,12897,1,606,2
codex-free,duckdb__duckdb.bdb65ec,python,25,2,0.08,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,10,11499,1,494,2
codex-free,dundee__gdu.ede21d2,python,31,2,0.0645,1,0,0.0,0.9032,0,0,,0,0,0.0,0.5,0,5,2,4,2,2.0,13,11175,1,462,2
codex-free,ecumene__rust-sloth.051c559,c,30,1,0.0333,0,0,,,1,0,1.0,1,0,0.0,1.0,1,4,2,3,1,1.5,9,9254,1,207,2
codex-free,ekzhang__bore.8e059cd,python,25,5,0.2,0,0,,,0,0,,1,0,0.4,0.4,0,2,2,1,1,0.5,9,9177,1,455,2
codex-free,eliukblau__pixterm.1a93fd5,,22,3,0.1364,0,0,,,0,0,,1,0,0.3333,0.6667,0,0,0,0,0,,9,10480,1,261,3
codex-free,elkowar__pipr.fae0b17,c,44,3,0.0682,1,0,0.0,0.3409,0,0,,2,1,0.6667,0.0,0,3,2,2,1,1.0,9,10712,1,269,2
codex-free,epistates__treemd.825c6dd,python,24,3,0.125,3,2,0.6667,0.75,2,0,1.0,2,1,0.0,0.3333,1,6,2,4,2,2.0,10,12831,1,695,2
codex-free,eradman__entr.8e2e8b4,c,32,1,0.0312,0,0,,,0,0,,0,0,1.0,0.0,0,5,2,5,2,2.5,9,11720,1,468,2
codex-free,esubaalew__run.0fb9dec,python,29,2,0.069,0,0,,,2,2,0.5,2,1,0.0,0.5,0,3,2,2,1,1.0,7,8599,1,342,2
codex-free,eudoxia0__hashcards.48aa136,python,35,2,0.0571,0,0,,,0,0,,0,0,0.0,0.5,0,6,2,5,2,2.5,9,13487,1,591,2
codex-free,facebook__zstd.1168da0,go,27,3,0.1111,0,0,,,0,0,,0,0,0.0,0.6667,0,4,4,3,2,0.75,18,10485,10,2683,12
codex-free,facebookresearch__fasttext.1142dc4,python,14,0,0.0,0,0,,,0,0,,0,0,,,0,2,2,1,1,0.5,6,9154,1,559,2
codex-free,ffmpeg__ffmpeg.360a402,python,20,2,0.1,1,1,1.0,,0,0,,0,0,0.0,0.5,0,4,2,3,1,1.5,15,13085,1,534,2
codex-free,filosottile__age.706dfc1,go,47,12,0.2553,6,5,0.8333,0.8511,1,0,1.0,1,0,0.0833,0.25,0,5,3,6,3,2.0,10,19074,1,717,3
codex-free,foriequal0__git-trim.07c2f50,python,26,2,0.0769,4,1,0.25,0.7692,2,0,1.0,2,1,0.0,0.0,0,5,2,4,2,2.0,9,12956,1,514,2
codex-free,gabotechs__dep-tree.60a95a2,python,33,1,0.0303,2,0,0.0,0.8182,0,1,0.0,0,0,0.0,1.0,0,5,2,3,1,1.5,10,13222,1,718,2
codex-free,ggreer__the_silver_searcher.a61f178,,20,0,0.0,0,0,,,0,0,,0,0,,,0,6,2,5,2,2.5,9,14743,1,599,2
codex-free,git-bahn__git-graph.87b4473,python,31,1,0.0323,1,0,0.0,0.9355,0,0,,1,0,0.0,0.0,0,2,2,1,1,0.5,10,9855,1,365,2
codex-free,go-critic__go-critic.9aea378,go,18,0,0.0,0,0,,,5,0,1.0,1,0,,,3,4,2,3,1,1.5,9,11439,1,476,2
codex-free,google__brotli.b3dc9cc,js,39,4,0.1026,0,0,,,0,0,,1,0,0.25,0.25,0,4,2,2,1,1.0,21,11038,1,273,2
codex-free,gromacs__gromacs.665ea4c,python,33,4,0.1212,0,0,,,0,0,,0,0,0.5,0.25,0,2,2,1,1,0.5,8,9543,1,409,2
codex-free,guumaster__hostctl.d6d9699,python,36,0,0.0,1,0,0.0,0.3611,0,0,,0,0,,,0,7,2,6,2,3.0,9,16074,1,580,2
codex-free,hairyhenderson__gomplate.05eb3aa,go,27,4,0.1481,0,0,,,0,1,0.0,1,0,0.25,0.25,0,8,3,7,3,2.3333,11,26067,1,856,3
codex-free,halitechallenge__halite.822cfb6,python,31,2,0.0645,0,0,,,0,0,,0,0,0.5,0.0,0,2,2,1,1,0.5,11,10480,1,404,2
codex-free,hatoo__oha.8dc6349,python,18,1,0.0556,2,0,0.0,0.5556,0,0,,0,0,0.0,0.0,0,4,2,2,1,1.0,9,11308,1,634,2
codex-free,hooklift__gowsdl.2a06cec,python,36,3,0.0833,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,9,12516,1,463,2
codex-free,hpjansson__chafa.dd4d4c1,python,15,0,0.0,1,0,0.0,0.6667,0,0,,0,0,,,0,2,2,1,1,0.5,10,11736,1,658,2
codex-free,htop-dev__htop.523600b,c,31,1,0.0323,0,0,,,1,0,1.0,1,0,0.0,1.0,1,6,2,5,2,2.5,8,13523,1,410,2
codex-free,hush-shell__hush.560c33a,python,45,2,0.0444,8,2,0.25,0.4889,0,0,,0,0,0.0,0.5,0,2,1,1,0,1.0,11,18072,1,268,2
codex-free,incu6us__goimports-reviser.81bd549,go,23,4,0.1739,0,0,,,0,0,,0,0,0.5,0.0,0,2,2,1,1,0.5,8,8396,1,493,2
codex-free,ip7z__7zip.839151e,python,41,5,0.122,3,0,0.0,0.6585,0,0,,0,0,0.0,0.6,0,5,2,4,2,2.0,12,15215,1,710,2
codex-free,ismaelgv__rnr.fc0733b,python,24,0,0.0,0,0,,,0,0,,0,0,,,0,5,2,4,2,2.0,7,9437,1,341,2
codex-free,isona__dirble.e2dea9f,python,30,1,0.0333,3,0,0.0,0.5,0,3,0.0,1,0,0.0,1.0,0,3,2,2,1,1.0,10,11449,1,501,2
codex-free,ivanceras__svgbob.6d00ad9,python,26,1,0.0385,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,2,1,1.0,9,10288,1,468,2
codex-free,jarun__nnn.cb2c535,c,25,3,0.12,0,0,,,1,0,1.0,0,0,0.0,0.0,1,3,2,2,1,1.0,9,7956,1,296,2
codex-free,jesseduffield__lazygit.1d0db51,python,30,1,0.0333,0,0,,,0,0,,0,0,0.0,1.0,0,3,2,2,1,1.0,7,7246,1,236,4
codex-free,jgm__pandoc.5caad90,python,26,2,0.0769,1,0,0.0,0.7692,0,0,,0,0,0.5,0.0,0,5,2,4,2,2.0,7,14996,1,750,2
codex-free,jhspetersson__fselect.c3559ca,python,31,1,0.0323,2,0,0.0,0.4194,0,0,,0,0,0.0,0.0,0,9,2,8,3,4.0,9,19389,1,1113,2
codex-free,johanneskaufmann__html-to-markdown.3006818,python,18,0,0.0,0,0,,,0,0,,0,0,,,0,4,2,3,1,1.5,7,8757,1,462,2
codex-free,johnkerl__miller.8d85b46,python,24,1,0.0417,0,0,,,0,0,,0,0,0.0,1.0,0,5,2,4,2,2.0,10,11662,1,767,2
codex-free,jonas__tig.8334123,c,26,1,0.0385,1,0,0.0,0.4615,0,0,,0,0,0.0,0.0,0,1,2,0,0,0.0,7,7065,1,179,2
codex-free,jqlang__jq.b33a763,python,23,5,0.2174,0,0,,,1,4,0.2,1,0,0.2,0.2,0,10,2,8,3,4.0,22,19077,1,684,2
codex-free,jrnxf__thokr.09375ef,python,25,1,0.04,0,0,,,0,0,,0,0,0.0,1.0,0,2,2,1,1,0.5,10,10922,1,402,2
codex-free,junegunn__fzf.b56d614,python,38,3,0.0789,1,0,0.0,0.9211,0,0,,0,0,0.3333,0.0,0,6,2,4,2,2.0,7,13691,1,558,2
codex-free,kaushiksrini__parqeye.8072121,c,46,6,0.1304,2,0,0.0,0.1522,1,0,1.0,0,0,0.0,0.5,1,1,1,0,0,0.0,7,8876,1,159,2
codex-free,kisielk__errcheck.dacab89,go,21,2,0.0952,1,1,1.0,,0,1,0.0,1,0,0.5,0.0,0,6,3,5,2,1.6667,10,15018,1,600,3
codex-free,konradsz__igrep.aa75630,python,42,1,0.0238,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,9,11642,1,294,3
codex-free,ksxgithub__parallel-disk-usage.96978ed,python,26,6,0.2308,0,0,,,0,0,,0,0,0.5,0.0,0,7,2,5,2,2.5,8,13522,1,555,2
codex-free,kyoh86__richgo.313114f,python,28,0,0.0,0,0,,,0,0,,0,0,,,0,3,2,1,1,0.5,10,9302,1,341,2
codex-free,kyoheiu__felix.95df390,c,39,3,0.0769,1,0,0.0,0.5128,1,0,1.0,0,0,0.0,0.6667,0,5,2,4,2,2.0,12,12173,1,533,2
codex-free,lfos__calcurse.49180d5,python,35,0,0.0,2,0,0.0,0.7429,0,0,,0,0,,,0,4,2,3,1,1.5,7,15236,1,531,2
codex-free,lh3__seqtk.94e7070,python,29,1,0.0345,0,0,,,0,0,,0,0,0.0,1.0,0,4,2,3,1,1.5,8,12801,1,508,2
codex-free,lua__lua.c6b4848,python,25,4,0.16,0,0,,,0,1,0.0,1,0,0.5,0.0,0,0,0,0,0,,8,15177,1,559,2
codex-free,luajit__luajit.a553b3d,python,29,5,0.1724,0,0,,,0,2,0.0,1,0,0.0,0.4,0,9,2,8,3,4.0,8,14781,1,563,2
codex-free,lymphatus__caesium-clt.a529b2e,python,31,5,0.1613,0,0,,,0,1,0.0,0,0,0.0,0.4,0,3,2,2,1,1.0,12,12449,1,533,2
codex-free,lz4__lz4.1519f46,python,30,3,0.1,0,0,,,0,0,,0,0,0.0,0.3333,0,7,2,6,2,3.0,11,13831,1,524,2
codex-free,madler__pigz.fe4894f,python,17,2,0.1176,1,0,0.0,0.8235,0,1,0.0,0,0,0.0,1.0,0,0,0,0,0,,9,8041,1,334,2
codex-free,mfridman__tparse.2416b4b,python,19,2,0.1053,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,3,1,1.5,10,9795,1,393,2
codex-free,mgdm__htmlq.6e31bc8,python,29,3,0.1034,0,0,,,0,0,,0,0,0.0,0.0,0,1,1,0,0,0.0,9,9030,1,231,2
codex-free,mgechev__revive.201451e,go,18,1,0.0556,0,0,,,0,0,,0,0,1.0,0.0,0,2,3,1,1,0.3333,9,10341,1,589,3
codex-free,mibk__dupl.1bf052b,go,23,0,0.0,0,0,,,0,0,,0,0,,,0,4,3,3,2,1.0,6,10671,1,682,3
codex-free,mikefarah__yq.602586d,python,28,3,0.1071,1,0,0.0,0.8929,0,0,,0,0,0.3333,0.0,0,5,2,3,1,1.5,9,14186,1,745,2
codex-free,miserlou__loop.209927c,python,61,0,0.0,0,0,,,0,0,,0,0,,,0,0,0,0,0,,8,12288,1,190,2
codex-free,mkj__dropbear.75f699b,c,19,1,0.0526,0,0,,,0,0,,0,0,0.0,1.0,0,2,2,1,1,0.5,10,8719,1,335,2
codex-free,mookid__diffr.2152742,python,25,2,0.08,0,0,,,0,1,0.0,1,0,0.0,0.5,0,3,2,2,1,1.0,10,9463,1,390,2
codex-free,multiprocessio__dsq.c3ae0ba,,31,3,0.0968,0,0,,,0,0,,1,0,0.0,0.6667,0,1,1,0,0,0.0,13,11809,1,477,2
codex-free,nachoparker__dutree.44e877d,python,31,1,0.0323,1,0,0.0,0.9032,1,0,1.0,1,0,0.0,0.0,0,0,0,0,0,,8,10081,1,206,2
codex-free,naggie__dstask.ff57396,python,20,1,0.05,0,0,,,0,0,,0,0,1.0,0.0,0,2,2,1,1,0.5,8,8337,1,456,2
codex-free,nikoladucak__caps-log.2cf2d1e,python,30,3,0.1,0,0,,,0,0,,0,0,0.3333,0.3333,0,3,2,1,1,0.5,10,9486,1,266,2
codex-free,nikolassv__bartib.6b9b5ce,python,19,1,0.0526,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,3,1,1.5,8,10890,1,420,2
codex-free,ninja-build__ninja.cc60300,python,27,1,0.037,1,0,0.0,0.8889,0,0,,0,0,0.0,0.0,0,7,2,6,2,3.0,8,12250,1,652,2
codex-free,noborus__ov.b96c2ba,python,47,5,0.1064,0,0,,,0,0,,0,0,0.2,0.2,0,8,1,7,2,7.0,8,16198,1,287,7
codex-free,noborus__trdsql.d8c5ff6,python,20,2,0.1,0,0,,,0,1,0.0,0,0,0.5,0.0,0,6,2,4,2,2.0,10,12405,1,584,2
codex-free,nukesor__pueue.8b9d6fe,python,13,1,0.0769,0,0,,,0,0,,0,0,0.0,1.0,0,0,0,0,0,,9,12553,1,854,2
codex-free,nuta__nsh.bdd0702,python,40,2,0.05,0,0,,,0,0,,0,0,0.0,0.5,0,3,2,2,1,1.0,11,8176,1,178,2
codex-free,o2sh__onefetch.e5958ce,python,23,1,0.0435,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,3,1,1.5,9,12097,1,486,2
codex-free,ogham__dog.721440b,python,14,1,0.0714,0,0,,,0,1,0.0,0,0,1.0,0.0,0,2,2,1,1,0.5,7,10546,1,509,2
codex-free,oppiliappan__eva.41ae245,python,25,1,0.04,0,0,,,0,0,,0,0,0.0,0.0,0,8,2,7,3,3.5,8,10098,1,430,2
codex-free,oppiliappan__statix.e9df54c,python,24,1,0.0417,1,0,0.0,0.875,0,0,,0,0,0.0,1.0,0,4,2,3,1,1.5,12,13547,1,663,2
codex-free,orf__gping.26eb5b9,python,23,2,0.087,1,0,0.0,0.913,0,0,,0,0,0.0,0.5,0,2,2,1,1,0.5,8,7390,1,346,2
codex-free,osgeo__gdal.0847f12,python,23,2,0.087,1,0,0.0,0.913,0,0,,0,0,0.0,0.5,0,3,2,2,1,1.0,9,13561,1,870,2
codex-free,osgeo__proj.75d455c,python,46,2,0.0435,0,0,,,0,0,,0,0,0.5,0.0,0,7,2,6,2,3.0,8,15562,1,424,2
codex-free,paradigmxyz__solar.5190d0e,python,25,0,0.0,2,0,0.0,0.6,0,0,,0,0,,,0,3,2,2,1,1.0,9,14859,1,643,2
codex-free,parcel-bundler__lightningcss.aa2ed1e,python,21,1,0.0476,0,0,,,0,0,,0,0,0.0,0.0,0,3,2,2,1,1.0,11,7948,1,397,2
codex-free,peco__peco.4e58dad,go,45,1,0.0222,2,0,0.0,0.8,0,0,,0,0,0.0,1.0,0,0,0,0,0,,8,9279,1,212,2
codex-free,pemistahl__grex.fa3e8ed,python,31,2,0.0645,0,0,,,0,0,,0,0,0.0,0.5,0,13,3,12,5,4.0,9,18078,1,552,2
codex-free,php__php-src.c891263,python,27,2,0.0741,4,2,0.5,0.8148,0,0,,0,0,0.0,0.5,0,8,2,7,3,3.5,10,16987,1,669,2
codex-free,pier-cli__pier.5e1bde9,python,31,2,0.0645,0,0,,,0,0,,1,0,0.0,0.0,0,0,0,0,0,,9,10495,1,436,2
codex-free,pls-rs__pls.4e1ae50,python,26,1,0.0385,0,0,,,0,0,,1,0,1.0,0.0,0,5,2,4,2,2.0,8,11716,1,542,2
codex-free,psampaz__go-mod-outdated.bb79367,go,19,0,0.0,0,0,,,0,0,,0,0,,,0,1,2,0,0,0.0,9,5489,1,180,2
codex-free,quinn-rs__quinn.bb359cc,python,29,0,0.0,0,0,,,0,0,,0,0,,,0,4,2,2,1,1.0,7,11337,1,646,2
codex-free,raviqqe__muffet.a882908,python,17,3,0.1765,0,0,,,0,2,0.0,0,0,0.0,0.0,0,0,0,0,0,,8,10708,1,294,2
codex-free,rbakbashev__elfcat.52f8cc7,python,25,2,0.08,0,0,,,0,0,,0,0,0.5,0.5,0,3,2,2,1,1.0,10,9061,1,418,2
codex-free,rcoh__angle-grinder.9c2fc88,python,33,3,0.0909,2,0,0.0,0.7879,2,0,1.0,1,0,0.0,0.0,0,9,2,8,3,4.0,12,17033,1,526,2
codex-free,rhysd__kiro-editor.4157485,c,26,2,0.0769,0,0,,,1,0,1.0,1,0,0.0,0.5,1,4,2,3,1,1.5,8,11922,1,562,2
codex-free,riquito__tuc.16fb471,python,53,3,0.0566,0,0,,,3,0,1.0,1,0,0.0,0.6667,3,4,1,3,1,3.0,9,13784,1,292,2
codex-free,robertdavidgraham__masscan.b99d433,python,14,0,0.0,0,0,,,0,0,,0,0,,,0,4,2,2,1,1.0,8,9887,1,542,2
codex-free,rochacbruno__marmite.7d4bc2d,python,16,1,0.0625,0,0,,,0,0,,0,0,0.0,0.0,0,2,2,1,1,0.5,7,12200,1,653,2
codex-free,rs__curlie.5dfcbb1,python,28,2,0.0714,0,0,,,0,0,,1,0,0.0,0.0,0,3,2,2,1,1.0,9,11434,1,204,2
codex-free,rs__jplot.2a54bcc,go,31,2,0.0645,3,1,0.3333,0.7419,0,0,,0,0,0.0,1.0,0,0,0,0,0,,10,6914,1,98,2
codex-free,rust-embedded__svd2rust.1760b5e,python,24,1,0.0417,3,1,0.3333,0.8333,1,0,1.0,1,0,0.0,1.0,1,4,3,2,1,0.6667,6,11870,1,546,2
codex-free,rust-ethereum__ethabi.b1710ad,python,35,4,0.1143,0,0,,,0,0,,0,0,0.0,0.25,0,3,2,2,1,1.0,10,13042,1,477,2
codex-free,rust-lang__mdbook.37273ba,python,27,1,0.037,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,2,1,1.0,9,12085,1,659,2
codex-free,rvben__rumdl.2d75c4d,python,25,0,0.0,2,0,0.0,0.52,0,0,,0,0,,,0,3,2,2,1,1.0,11,14369,1,600,2
codex-free,samtools__samtools.aa823b5,python,27,1,0.037,2,0,0.0,0.4815,0,0,,0,0,0.0,0.0,0,7,2,6,2,3.0,9,17408,1,785,2
codex-free,sayanarijit__xplr.1751065,python,24,2,0.0833,0,0,,,0,0,,1,0,0.0,1.0,0,2,2,1,1,0.5,8,7140,1,287,2
codex-free,sclevine__yj.8016400,python,18,1,0.0556,2,0,0.0,0.8333,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,8,11968,1,674,2
codex-free,segmentio__chamber.5f93f5f,python,25,1,0.04,1,0,0.0,0.88,0,0,,0,0,0.0,0.0,0,7,2,6,2,3.0,12,17294,1,592,2
codex-free,sharkdp__bat.f822bd0,python,25,1,0.04,0,0,,,0,0,,0,0,0.0,0.0,0,5,2,4,2,2.0,9,15122,1,548,4
codex-free,sharkdp__fd.40d8eb3,python,30,2,0.0667,0,0,,,0,0,,0,0,0.0,0.5,0,7,2,6,2,3.0,13,17539,1,906,2
codex-free,sharkdp__hexyl.2e26437,python,28,1,0.0357,0,0,,,0,0,,0,0,0.0,0.0,0,4,2,3,1,1.5,12,12541,1,502,2
codex-free,sharkdp__hyperfine.327d5f4,,28,2,0.0714,0,0,,,0,0,,1,0,0.5,0.0,0,3,2,2,1,1.0,9,12177,1,586,2
codex-free,sharkdp__pastel.b60e899,python,27,0,0.0,4,0,0.0,0.5185,0,0,,0,0,,,0,4,3,4,2,1.3333,9,14500,1,354,3
codex-free,shashwatah__jot.a92aad8,python,16,1,0.0625,2,1,0.5,0.875,0,0,,0,0,0.0,1.0,0,0,0,0,0,,10,10544,1,453,2
codex-free,sheepla__pingu.926d475,python,46,2,0.0435,0,0,,,0,0,,0,0,0.5,0.0,0,3,2,2,1,1.0,9,7953,1,217,2
codex-free,sibprogrammer__xq.b89f681,python,24,0,0.0,0,0,,,0,0,,0,0,,,0,2,2,1,1,0.5,9,8166,1,382,2
codex-free,sigoden__argc.04a08f1,python,45,5,0.1111,1,0,0.0,0.4,0,0,,2,1,0.0,0.8,0,14,2,12,4,6.0,7,18894,1,908,2
codex-free,simeg__eureka.df3796c,python,36,4,0.1111,0,0,,,0,0,,0,0,0.5,0.0,0,4,2,3,1,1.5,10,9227,1,196,2
codex-free,sirwart__ripsecrets.34c9e03,python,38,11,0.2895,0,0,,,0,0,,0,0,0.0,0.4545,0,9,2,7,3,3.5,12,15479,1,312,2
codex-free,sitkevij__hex.61ae69b,python,20,0,0.0,0,0,,,0,0,,0,0,,,0,2,2,1,1,0.5,8,6720,1,227,2
